ID,ID_nm,CODE,SD_nm_rev,ADD,SGG_cd_rev,SGG_nm_rev,HEMD_cd,HEMD_cd2,HEMD_nm,BEMD_cd,BEMD_nm,WGS_X_rev,WGS_Y_rev,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020
111201,,A,서울,서울 마포구 포은로6길 10,11140,마포구,1144069000,1114069,망원1동,1144012300,망원동,126.9057046,37.5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
111201,이전,A,서울,서울 마포구 대흥로 20길 28 ,11140,마포구,1144060000,1114060,대흥동,1144010800,대흥동,126.945511,37.5498622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
111202,,B,서울,서울 마포구 노고산동 57-62,11140,마포구,1144066000,1114066,서교동,1144011000,노고산동,126.936076,37.5552018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
111202,이전,B,서울,서울 마포구 신촌로 106,11140,마포구,1144060000,1114060,대흥동,1144011000,노고산동,126.9375,37.55508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
111212,,A,서울,서울 강서구 강서로 45다길 71 ,11160,강서구,1150056000,1116058,화곡3동,1150010300,화곡동,126.8351838,37.5446806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111213,,B,서울,서울 강서구 마곡동 727-1091 ,11160,강서구,1150060300,1116064,가양1동,1150010500,마곡동,126.8285102,37.5596798,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
111221,,A,서울,서울 구로구 가마산로 27길 45 ,11170,구로구,1153056000,1117056,구로5동,1153010200,구로동,126.8897437,37.4985416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111222,폐쇄,A,서울,서울 구로구 궁동 157 ,11170,구로구,1153079000,1117069,수궁동,1153010900,궁동,126.8302568,37.4985982,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
111231,,A,서울,서울 영등포구 양산로 23길 11 ,11190,영등포구,1156055000,1119055,당산1동,1156011300,당산동3가,126.897374,37.5249144,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111231,이전,A,서울,서울 영등포구 문래동3가 54-45,11190,영등포구,1156060500,1119076,문래동,1156012100,문래동3가,126.8973345,37.5137591,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
